Image 167 Metrics for Fake A vs Real B: PSNR: 19.23, MSE: 0.01
Image 167 Metrics for Fake B vs Real A: PSNR: 16.64, MSE: 0.02
Image 168 Metrics for Fake A vs Real B: PSNR: 19.19, MSE: 0.01
Image 168 Metrics for Fake B vs Real A: PSNR: 16.71, MSE: 0.02
Image 169 Metrics for Fake A vs Real B: PSNR: 19.05, MSE: 0.01
Image 169 Metrics for Fake B vs Real A: PSNR: 16.29, MSE: 0.02
Image 170 Metrics for Fake A vs Real B: PSNR: 19.02, MSE: 0.01
Image 170 Metrics for Fake B vs Real A: PSNR: 16.11, MSE: 0.02
Image 171 Metrics for Fake A vs Real B: PSNR: 18.85, MSE: 0.01
Image 171 Metrics for Fake B vs Real A: PSNR: 15.97, MSE: 0.02
Image 172 Metrics for Fake A vs Real B: PSNR: 18.82, MSE: 0.01
Image 172 Metrics for Fake B vs Real A: PSNR: 16.07, MSE: 0.02
Image 173 Metrics for Fake A vs Real B: PSNR: 18.81, MSE: 0.01
Image 173 Metrics for Fake B vs Real A: PSNR: 16.29, MSE: 0.02
Image 174 Metrics for Fake A vs Real B: PSNR: 18.82, MSE: 0.01
Image 174 Metrics for Fake B vs Real A: PSNR: 16.20, MSE: 0.02
Image 175 Metrics for Fake A vs Real B: PSNR: 18.88, MSE: 0.01
Image 175 Metrics for Fake B vs Real A: PSNR: 15.76, MSE: 0.02
Image 176 Metrics for Fake A vs Real B: PSNR: 18.85, MSE: 0.01
Image 176 Metrics for Fake B vs Real A: PSNR: 15.59, MSE: 0.02
Image 177 Metrics for Fake A vs Real B: PSNR: 18.56, MSE: 0.01
Image 177 Metrics for Fake B vs Real A: PSNR: 15.58, MSE: 0.02
Image 178 Metrics for Fake A vs Real B: PSNR: 18.64, MSE: 0.01
Image 178 Metrics for Fake B vs Real A: PSNR: 14.56, MSE: 0.02
Image 179 Metrics for Fake A vs Real B: PSNR: 18.55, MSE: 0.01
Image 179 Metrics for Fake B vs Real A: PSNR: 15.39, MSE: 0.02
